아줌마,middle aged/older woman (three syllables)
물건,"thing, item, goods (ㅁ...ㄱ...)"
복도,"hall, hallway"
목적,"purpose, aim, goal"
목적지,destination
국가,"nation, country"
동네,neighborhood
학비,tuition
무기,weapon
정답,right or correct answer
청소년,youth
지역,a certain area or region
경기,match or game (ㄱ...)
점수,grade, score
선수,player (in sports)
목숨,life
모기,mosquito
허리,waist
달,moon
인사,greeting
소금,salt
담배,"tobacco, cigarettes"
환자,patients
옷걸이,hanger
국제,international
일반,"usual, normal, typical (noun)"
사이,"space, gap"
밖,the outside of something
깎다,"to peel, cut, trim, shave"
알아보다,"to recognize, to 'try' to know"
극복하다,to overcome
맞추다,to adjust, to fix, to set
합격하다,to pass (an exam), to get accepted
결정하다,to decide
이혼하다,to get a divorce
물어보다,to ask
피우다,"to smoke, to light a fire"
불다,to blow
계속하다,to continue
다치다,"to injure, to get hurt"
답하다,to answer, to respond
틀리다,to be incorrect
깨끗하다,to be clean
남다,"to be remaining, to be left over"
맑다,"to be clear, clean, pure"
무료,free
영업 시간,business hours
